1;Avengers: Endgame;2797800564;2019;
2;Avatar;2790439092;2009;
3;Titanic;2195169869;1997;
4;Star Wars: Episode VII - The Force Awakens;2068224036;2015;
5;Avengers: Infinity War;2048359754;2018;
6;Jurassic World;1670401444;2015;
7;The Lion King;1656963790;2019;
8;The Avengers;1518815515;2012;
9;Furious 7;1515048151;2015;
10;Frozen II;1450026933;2019;
11;Avengers: Age of Ultron;1402809540;2015;
12;Black Panther;1347280838;2018;
13;Harry Potter and the Deathly Hallows: Part 2;1342177743;2011;
14;Star Wars: Episode VIII - The Last Jedi;1332540187;2017;
15;Jurassic World: Fallen Kingdom;1308484808;2018;
16;Frozen;1280803353;2013;
17;Beauty and the Beast;1264064380;2017;
18;The Incredibles 2;1242805359;2018;
19;The Fate of the Furious;1236005118;2017;
20;Iron Man 3;1214811252;2013;
21;Minions;1159443203;2015;
22;Captain America: Civil War;1153332120;2016;
23;Aquaman;1148485886;2018;
24;The Lord of the Rings: The Return of the King;1142271098;2003;
25;Spider-Man: Far from Home;1131927996;2019;
26;Captain Marvel;1128276090;2019;
27;Transformers: Dark of the Moon;1123794079;2011;
28;Skyfall;1108561013;2012;
29;Transformers: Age of Extinction;1104054072;2014;
30;The Dark Knight Rises;1081133191;2012;
31;Joker;1074251311;2019;
32;Star Wars: The Rise of Skywalker;1074144248;2019;
33;Toy Story 4;1073394593;2019;
34;Toy Story 3;1066969703;2010;
35;Pirates of the Caribbean: Dead Man's Chest;1066179725;2006;
36;Rogue One: A Star Wars Story;1056057720;2016;
37;Aladdin;1050693953;2019;
38;Pirates of the Caribbean: On Stranger Tides;1045713802;2011;
39;Despicable Me 3;1034799409;2017;
40;Jurassic Park;1033862494;1993;
41;Finding Dory;1028570889;2016;
42;Star Wars: Episode I - The Phantom Menace;1027082707;1999;
43;Alice in Wonderland;1025467110;2010;
44;Zootopia;1023790272;2016;
45;The Hobbit: An Unexpected Journey;1017003568;2012;
46;The Dark Knight;1005455211;2008;
47;Harry Potter and the Sorcerer's Stone;1001987315;2001;
48;Harry Potter and the Deathly Hallows: Part 1;976952911;2010;
49;Despicable Me 2;970766005;2013;
50;The Lion King;968511805;1994;
51;The Jungle Book;966552003;2016;
52;Jumanji: Welcome to the Jungle;962102237;2017;
53;Pirates of the Caribbean: At World's End;960996492;2007;
54;The Hobbit: The Desolation of Smaug;958366855;2013;
55;The Hobbit: The Battle of the Five Armies;956019788;2014;
56;The Lord of the Rings: The Two Towers;951227416;2002;
57;Harry Potter and the Order of the Phoenix;942133343;2007;
58;Finding Nemo;940350086;2003;
59;Harry Potter and the Half-Blood Prince;934409427;2009;
60;Shrek 2;928760770;2004;
61;Bohemian Rhapsody;906897641;2018;
62;Harry Potter and the Goblet of Fire;896389289;2005;
63;Spider-Man 3;894983373;2007;
64;The Lord of the Rings: The Fellowship of the Ring;887934303;2001;
65;Ice Age: Dawn of the Dinosaurs;886686817;2009;
66;Spectre;880674609;2015;
67;Spider-Man: Homecoming;880166924;2017;
68;Harry Potter and the Chamber of Secrets;879570591;2002;
69;Ice Age: Continental Drift;877244782;2012;
70;The Secret Life of Pets;875457937;2016;
71;Batman v Superman: Dawn of Justice;873637528;2016;
72;Wolf Warrior 2;870325439;2017;
73;Inception;869848912;2010;
74;Star Wars: Episode III - Revenge of the Sith;868390560;2005;
75;The Hunger Games: Catching Fire;865011746;2013;
76;Guardians of the Galaxy Vol. 2;863756051;2017;
77;Inside Out;858071350;2015;
78;Venom;856085151;2018;
79;Thor: Ragnarok;853980491;2017;
80;Transformers: Revenge of the Fallen;836303693;2009;
81;The Twilight Saga: Breaking Dawn - Part 2;829746820;2012;
82;Spider-Man;825025036;2002;
83;Wonder Woman;821847012;2017;
84;Independence Day;817400891;1996;
85;Fantastic Beasts and Where to Find Them;814038508;2016;
86;Shrek the Third;813367380;2007;
87;Coco;807083670;2017;
88;Jumanji: The Next Level;796575993;2019;
89;Harry Potter and the Prisoner of Azkaban;796168971;2004;
90;Pirates of the Caribbean: Dead Men Tell No Tales;794878815;2017;
91;E.T. the Extra-Terrestrial;793482178;1982;
92;2012;791217826;2009;
93;Guardians of the Galaxy;791207763;2014;
94;Mission: Impossible - Fallout;791120426;2018;
95;Indiana Jones and the Kingdom of the Crystal Skull;790653942;2008;
96;Spider-Man 2;788976453;2004;
97;Fast & Furious 6;788680968;2013;
98;Deadpool 2;785794179;2018;
99;Deadpool;782612155;2016;
100;Star Wars: Episode IV - A New Hope;775768912;1977;
101;The Da Vinci Code;760006945;2006;
102;Fast & Furious Presents: Hobbs & Shaw;759056935;2019;
103;Maleficent;758411779;2014;
104;The Amazing Spider-Man;757930663;2012;
105;The Hunger Games: Mockingjay - Part 1;755356711;2014;
106;Shrek Forever After;752600867;2010;
107;Madagascar 3: Europe's Most Wanted;746921274;2012;
108;Suicide Squad;746846894;2016;
109;X-Men: Days of Future Past;746045700;2014;
110;The Chronicles of Narnia: The Lion the Witch and the Wardrobe;745013115;2005;
111;Monsters University;743559607;2013;
112;The Matrix Reloaded;741847890;2003;
113;Up;735099082;2009;
114;Ne Zha;726063471;2019;
115;Gravity;723192705;2013;
116;Captain America: The Winter Soldier;714421503;2014;
117;The Twilight Saga: Breaking Dawn - Part 1;712205856;2011;
118;The Twilight Saga: New Moon;711025481;2009;
119;Dawn of the Planet of the Apes;710644566;2014;
120;Transformers;709709780;2007;
121;The Amazing Spider-Man 2;708982323;2014;
122;It;701796444;2017;
123;The Wandering Earth;699856699;2019;
124;The Twilight Saga: Eclipse;698491347;2010;
125;Mission: Impossible - Ghost Protocol;694713380;2011;
126;Interstellar;694474510;2014;
127;The Hunger Games;694394724;2012;
128;Mission: Impossible - Rogue Nation;682716636;2015;
129;Forrest Gump;678229452;1994;
130;Doctor Strange;677718395;2016;
131;The Sixth Sense;672806292;1999;
132;Man of Steel;668045518;2013;
133;Ice Age: The Meltdown;667094506;2006;
134;Kung Fu Panda 2;665692281;2011;
135;The Hunger Games: Mockingjay - Part 2;658344137;2015;
136;Justice League;657926987;2017;
137;Big Hero 6;657868146;2014;
138;Fantastic Beasts: The Crimes of Grindelwald;654855901;2018;
139;Pirates of the Caribbean: The Curse of the Black Pearl;654264015;2003;
140;Star Wars: Episode II - Attack of the Clones;653779970;2002;
141;Thor: The Dark World;644783140;2013;
142;Moana;643347400;2016;
143;Sing;634154922;2016;
144;Kung Fu Panda;631746197;2008;
145;The Incredibles;631606713;2004;
146;The Martian;630161890;2015;
147;Hancock;629443428;2008;
148;Fast Five;626137675;2011;
149;Men in Black 3;624026776;2012;
150;Iron Man 2;623933331;2010;
151;Ratatouille;623726085;2007;
152;Ant-Man and the Wasp;622674139;2018;
153;How to Train Your Dragon 2;621537519;2014;
154;Logan;619021436;2017;
155;The Lost World: Jurassic Park;618638999;1997;
156;Casino Royale;616501619;2006;
157;The Passion of the Christ;612054428;2004;
158;Mamma Mia!;609910134;2008;
159;Life of Pi;609016565;2012;
160;Transformers: The Last Knight;605425157;2017;
161;Madagascar: Escape 2 Africa;603900354;2008;
162;War of the Worlds;603873119;2005;
163;Tangled;592461732;2010;
164;Quantum of Solace;589580482;2008;
165;Men in Black;589390539;1997;
166;The Croods;587204668;2013;
167;The Hangover Part II;586764305;2011;
168;Iron Man;585796247;2008;
169;I Am Legend;585410052;2007;
170;Ready Player One;582893671;2018;
171;Operation Red Sea;579330426;2018;
172;Monsters Inc.;578981070;2001;
173;Night at the Museum;574480841;2006;
174;Fifty Shades of Grey;569651467;2015;
175;Kong: Skull Island;566652812;2017;
176;The Smurfs;563749323;2011;
177;King Kong;562363449;2005;
178;Cars 2;559852396;2011;
179;Puss in Boots;554987477;2011;
180;The Mermaid;553810228;2016;
181;Armageddon;553709788;1998;
182;The Day After Tomorrow;552639571;2004;
183;Ted;549368315;2012;
184;Star Wars: Episode V - The Empire Strikes Back;549265501;1980;
185;American Sniper;547426372;2014;
186;Mission: Impossible II;546388108;2000;
187;Detective Chinatown 2;544185156;2018;
188;X-Men: Apocalypse;543934105;2016;
189;Sherlock Holmes: A Game of Shadows;543848418;2011;
190;Despicable Me;543113985;2010;
191;Cinderella;542351353;2015;
192;Madagascar;542063846;2005;
193;World War Z;540007876;2013;
194;Brave;538983207;2012;
195;The Simpsons Movie;536414270;2007;
196;The Revenant;532950503;2015;
197;The Meg;530259473;2016;
198;Ralph Breaks the Internet;529323962;2018;
199;Hotel Transylvania 3: Summer Vacation;528583774;2018;
200;The Boss Baby;527965936;2017;